"start_station_name","start_lat","start_lng","total_trips"
Rockwell St & Eastwood Ave,41.96587703762211,-87.69365337174985,3205
Sheridan Rd & Columbia Ave,42.00456959243549,-87.66145204129029,3178
Canal St & Harrison St,41.87424516136408,-87.63958209614202,3173
Racine Ave & 15th St,41.86126826841,-87.65656191375768,3161
Elizabeth St & Fulton St,41.88672218034596,-87.65960182707114,3149
Clark St & Lunt Ave,42.009036970935355,-87.67419187316541,3140
California Ave & Montrose Ave,41.96105565896935,-87.69542585889623,3139
Ashland Ave & Belle Plaine Ave,41.95607262281289,-87.66885755514309,3121
Shields Ave & 28th Pl,41.842754859886305,-87.63551224021751,3077
Troy St & North Ave,41.90979475106205,-87.70531303754072,3070
California Ave & Fletcher St,41.938435705227874,-87.69800663018138,3058
Richmond St & Diversey Ave,41.93191704800738,-87.70122390398646,3040
Central Park Ave & Bloomingdale Ave,41.914165372747064,-87.71675864719687,3023
Elston Ave & Wabansia Ave,41.91292922900982,-87.66416478669848,2978
Clinton St & 18th St,41.85798882211246,-87.6408857792672,2974
Hampden Ct & Diversey Ave,41.93012814304003,-87.64013658893462,2960
Leavitt St & Addison St,41.946593528291274,-87.68338349371051,2942
Chicago Ave & Washington St,42.032491568973995,-87.67915080487238,2940
Damen Ave & Walnut (Lake) St,41.88597179603278,-87.67700915889482,2932
Calumet Ave & 35th St,41.83138164022207,-87.61803783408722,2930
Campbell Ave & Fullerton Ave,41.92463455821493,-87.68929299342159,2909
Clark St & Schreiber Ave,41.999021071147176,-87.67137160449765,2905
Leavitt St & Lawrence Ave,41.968884774658704,-87.68402292063274,2884
Claremont Ave & Hirsch St,41.907789496048146,-87.68586877962211,2863
Laflin St & Cullerton St,41.854868632375364,-87.663613742974,2854
Milwaukee Ave & Fullerton Ave,41.920212640825866,-87.70002555271058,2837
Damen Ave & Madison St,41.88139424139719,-87.67492070187713,2798
Elizabeth (May) St & Fulton St,41.88659838124464,-87.65823210361347,2775
University Library (NU),42.05293861130677,-87.67341363745825,2754
Campbell Ave & Montrose Ave,41.96154272953554,-87.6911784763645,2754
Washtenaw Ave & Lawrence Ave,41.96888169147005,-87.69609126236348,2752
Halsted St & 35th St,41.83062361414301,-87.6471295540436,2750
Emerald Ave & 28th St,41.84358238616298,-87.64539164706811,2711
Bissell St & Armitage Ave,41.91799406892019,-87.6521620494832,2678
Indiana Ave & 26th St,41.845676411031,-87.62252154325684,2663
Halsted St & Archer Ave,41.847154765155274,-87.64682237054663,2640
Damen Ave & Cullerton St,41.85500183864109,-87.6756549721084,2620
Lake Park Ave & 35th St,41.831299598141165,-87.60884258394432,2603
Central Park Ave & Elbridge Ave,41.93534636841526,-87.71686121113187,2591
State St & 19th St,41.85658084047325,-87.62754740032074,2562
Kosciuszko Park,41.9305628433323,-87.72380645865059,2467
May St & Cullerton St,41.8551725168171,-87.65415622045647,2455
W Oakdale Ave & N Broadway,41.93981827506648,-87.64016732174608,2450
Halsted St & Fulton St,41.8892517089264,-87.64955798032778,2413
N Carpenter St & W Lake St,41.88981365428381,-87.65013159975302,2408
Oakley Ave & Irving Park Rd,41.95431010908486,-87.68605126261484,2354
California Ave & Byron St,41.95216075119886,-87.69806067442164,2341
Lincoln Ave & Winona St,41.9748977149874,-87.69263775814541,2323
Lake Park Ave & 47th St,41.809444225726594,-87.5918699358995,2321
Paulina St & Howard St,42.01915452634743,-87.67356644313016,2298
Kimball Ave & Belmont Ave,41.93940334986426,-87.71177539281291,2295
Hoyne Ave & Balmoral Ave,41.9798763732645,-87.68194461807973,2294
